,model,epochs,batch_size,initial_lr,fold,train_examples,sampling,train_time,test_time,filename,f1,precision,recall,bal_acc
69,BernoulliNB,,,,2,,SMOTE,1.694730520248413,0.08803868293762207,,0.16406328558224917,0.19931487365108103,0.26084177922349294,0.26084177922349294
70,GaussianNB,,,,2,,SMOTE,1.074730396270752,0.11948537826538086,,0.045517866374654894,0.1698884705682669,0.1781185471653817,0.1781185471653817
71,KNeighborsClassifier,,,,2,,SMOTE,30.93440008163452,5331.1555552482605,,0.5765610380424449,0.49034467880161275,0.8412287269644978,0.8412287269644978
72,NearestCentroid,,,,2,,SMOTE,0.3015105724334717,0.028282642364501953,,0.15760287278429846,0.18039303072075202,0.2152562084530758,0.2152562084530758
73,DecisionTreeClassifier,,,,2,,SMOTE,268.9055907726288,0.005755424499511719,,0.7685164110261141,0.7118547680452435,0.8427447834634877,0.8427447834634877
74,AdaBoostClassifier,,,,2,,SMOTE,1019.3636999130249,0.18728208541870117,,0.19727385132540867,0.2116183410956989,0.28782905387096225,0.28782905387096225
75,LGBM,,,,2,,SMOTE,199.47276639938354,0.12720417976379395,,0.5249162953960572,0.45872552223511326,0.6686476905378006,0.6686476905378006
76,PassiveAggressiveClassifier,,,,3,,NONE,6.032821893692017,0.013921260833740234,,0.1404893213934927,0.29896765750609605,0.15321862447089854,0.15321862447089854
77,Perceptron,,,,3,,NONE,3.3529205322265625,0.013902664184570312,,0.17410902856823599,0.3005417619682666,0.24569017812632005,0.24569017812632005
78,RidgeClassifier,,,,3,,NONE,0.5367860794067383,0.0069866180419921875,,0.14412193387755168,0.26165849627045595,0.1548852859457226,0.1548852859457226
79,SGDClassifier,,,,3,,NONE,40.18821334838867,0.013491392135620117,,0.14600444108055763,0.33530382135153924,0.15609479972402848,0.15609479972402848
80,LogisticRegression,,,,3,,NONE,17.37683916091919,0.018285512924194336,,0.20213333112701964,0.25270657085439807,0.19317308982403655,0.19317308982403655
81,LinearDiscriminantAnalysis,,,,3,,NONE,7.435009002685547,0.01891040802001953,,0.23684140917582056,0.378364945209898,0.21535432217538536,0.21535432217538536
82,QuadraticDiscriminantAnalysis,,,,3,,NONE,4.407130479812622,0.23906660079956055,,0.34346677004219056,0.3713758918850042,0.6004336890012841,0.6004336890012841
